"Diabetes, urogenital, blood, and endocrine diseases",,,,,,,,,,
Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Chambers County, Alabama",1017,"57.63 (53.97, 61.40)","60.02 (56.59, 63.51)","63.75 (60.39, 66.91)","75.60 (71.77, 79.40)","85.24 (81.09, 89.95)","89.31 (85.05, 93.83)","88.00 (83.42, 92.56)","90.83 (85.77, 95.95)","57.62 (44.12, 71.81)"
"Cherokee County, Alabama",1019,"45.20 (41.70, 48.90)","45.75 (42.59, 49.22)","47.19 (44.19, 50.25)","52.63 (49.49, 56.02)","57.79 (54.24, 61.39)","58.35 (54.79, 62.00)","53.58 (50.04, 57.34)","53.48 (49.77, 57.55)","18.31 (6.92, 31.52)"
"Chilton County, Alabama",1021,"50.12 (46.61, 54.06)","49.60 (46.54, 52.88)","51.19 (48.31, 54.28)","56.24 (53.27, 59.58)","60.59 (57.34, 63.77)","61.64 (58.26, 65.06)","58.19 (54.91, 61.53)","56.37 (53.06, 59.97)","12.46 (1.82, 24.10)"
"Choctaw County, Alabama",1023,"53.99 (49.52, 58.02)","53.30 (49.59, 57.37)","54.06 (50.60, 57.71)","58.03 (54.41, 61.97)","62.43 (58.59, 66.30)","58.83 (54.89, 62.51)","54.34 (50.38, 58.50)","51.96 (47.81, 56.49)","-3.75 (-13.66, 8.35)"
"Clarke County, Alabama",1025,"67.50 (63.08, 72.03)","67.67 (63.76, 71.63)","70.07 (66.42, 73.88)","75.12 (70.98, 78.93)","81.55 (77.27, 85.85)","83.71 (79.33, 88.23)","77.55 (73.22, 81.94)","75.76 (71.04, 80.25)","12.23 (2.16, 23.52)"
"Clay County, Alabama",1027,"57.23 (52.99, 61.81)","58.14 (54.38, 62.37)","60.05 (56.18, 64.08)","64.99 (61.05, 69.19)","70.85 (66.58, 75.17)","73.02 (67.97, 77.96)","66.64 (61.83, 71.10)","65.66 (60.67, 70.90)","14.74 (2.54, 27.45)"
"Cleburne County, Alabama",1029,"49.25 (45.70, 53.30)","50.65 (47.13, 54.44)","52.50 (49.10, 56.05)","57.04 (53.32, 60.62)","61.22 (57.52, 64.93)","64.87 (60.60, 68.89)","59.47 (55.25, 63.65)","60.46 (55.89, 65.14)","22.75 (9.47, 35.86)"
"Coffee County, Alabama",1031,"53.68 (49.94, 57.54)","55.21 (51.96, 58.76)","56.40 (53.34, 59.57)","62.01 (58.72, 65.18)","67.64 (64.45, 71.17)","66.81 (63.41, 70.02)","62.94 (59.59, 66.31)","60.31 (56.71, 63.92)","12.35 (2.12, 23.72)"
"Colbert County, Alabama",1033,"47.30 (44.03, 50.72)","51.11 (48.16, 54.07)","54.74 (51.75, 57.84)","62.46 (59.32, 65.83)","69.91 (66.55, 73.36)","74.53 (71.12, 78.21)","74.28 (70.49, 77.97)","73.28 (69.22, 77.43)","54.91 (41.89, 68.90)"
"Conecuh County, Alabama",1035,"53.45 (49.49, 57.53)","56.42 (52.36, 60.44)","61.76 (58.05, 65.84)","73.36 (69.32, 77.51)","85.75 (80.98, 90.49)","91.49 (86.38, 96.97)","91.19 (85.73, 97.05)","97.39 (90.66, 104.38)","82.22 (63.40, 103.44)"
"Coosa County, Alabama",1037,"55.46 (50.91, 59.79)","56.29 (51.94, 60.68)","56.72 (52.95, 60.74)","62.38 (58.54, 66.43)","67.20 (62.94, 71.67)","66.14 (62.13, 70.67)","59.73 (55.51, 64.24)","60.45 (55.95, 65.23)","8.98 (-2.54, 21.75)"
"Covington County, Alabama",1039,"49.82 (46.36, 53.16)","50.76 (47.93, 53.55)","53.74 (50.92, 56.59)","62.40 (59.39, 65.31)","67.11 (63.76, 70.57)","72.64 (68.97, 76.26)","69.88 (66.40, 73.26)","70.97 (66.88, 75.08)","42.46 (30.57, 56.21)"
"Crenshaw County, Alabama",1041,"52.33 (48.22, 56.68)","54.57 (50.64, 58.50)","59.09 (55.45, 62.91)","66.98 (63.20, 71.04)","75.10 (70.79, 79.71)","79.68 (74.87, 84.76)","77.16 (72.07, 82.47)","80.18 (74.49, 85.85)","53.22 (37.15, 70.26)"
"Cullman County, Alabama",1043,"46.79 (43.77, 49.86)","47.68 (45.10, 50.42)","51.72 (49.07, 54.18)","58.99 (56.22, 62.02)","65.31 (62.24, 68.49)","68.72 (65.49, 72.22)","66.01 (62.66, 69.50)","66.45 (62.91, 69.96)","42.01 (30.86, 54.68)"
"Dale County, Alabama",1045,"48.73 (45.52, 52.21)","49.67 (46.68, 52.86)","53.84 (50.95, 56.80)","61.77 (58.69, 65.10)","71.54 (67.54, 75.21)","73.26 (69.41, 77.49)","69.21 (65.38, 72.92)","69.75 (65.61, 74.08)","43.15 (31.42, 57.16)"
"Dallas County, Alabama",1047,"74.75 (70.58, 78.94)","74.37 (70.64, 78.46)","79.65 (75.57, 83.86)","88.81 (84.69, 92.90)","94.44 (89.97, 99.19)","99.21 (94.45, 103.84)","93.57 (88.91, 98.34)","92.62 (87.77, 97.51)","23.90 (14.94, 34.38)"
"DeKalb County, Alabama",1049,"45.42 (42.43, 48.69)","48.15 (45.34, 50.84)","50.55 (48.00, 53.33)","54.91 (52.18, 57.63)","62.66 (59.59, 65.84)","67.11 (63.74, 70.74)","64.49 (61.16, 67.93)","65.17 (61.65, 68.82)","43.49 (31.15, 57.35)"
"Elmore County, Alabama",1051,"50.63 (47.22, 54.22)","53.60 (50.45, 56.77)","56.25 (53.44, 59.43)","63.12 (59.99, 66.17)","67.91 (64.63, 71.22)","71.09 (67.54, 74.68)","65.05 (61.90, 68.35)","67.97 (64.35, 71.90)","34.26 (22.77, 46.58)"
"Escambia County, Alabama",1053,"61.29 (57.46, 65.23)","63.97 (60.63, 67.57)","67.73 (64.25, 71.09)","78.04 (74.00, 82.13)","87.77 (83.26, 92.62)","94.56 (89.79, 99.39)","90.80 (86.13, 95.51)","93.11 (87.76, 98.45)","51.92 (39.45, 65.81)"
"Etowah County, Alabama",1055,"46.47 (43.80, 49.19)","50.50 (48.06, 53.18)","53.88 (51.28, 56.39)","63.30 (60.41, 66.28)","73.02 (69.90, 76.18)","78.59 (75.18, 82.16)","80.40 (76.86, 84.12)","77.72 (73.66, 81.49)","67.25 (55.15, 80.92)"
"Fayette County, Alabama",1057,"50.68 (47.01, 54.58)","52.52 (48.82, 56.43)","57.49 (53.86, 61.04)","66.73 (63.16, 70.96)","77.15 (73.03, 81.60)","80.51 (75.84, 85.16)","77.16 (72.42, 82.11)","79.80 (74.60, 85.39)","57.45 (42.07, 73.69)"
"Franklin County, Alabama",1059,"50.93 (47.29, 54.61)","55.71 (52.54, 59.23)","60.91 (57.78, 64.34)","71.78 (68.01, 75.69)","86.26 (82.07, 91.01)","92.68 (87.78, 97.43)","93.47 (88.75, 98.35)","94.39 (89.08, 99.96)","85.33 (68.64, 103.65)"
"Geneva County, Alabama",1061,"54.30 (50.19, 58.17)","56.63 (53.16, 60.25)","60.51 (56.81, 64.14)","67.23 (63.56, 70.97)","74.51 (70.55, 78.79)","77.53 (73.59, 81.69)","74.27 (70.06, 78.35)","75.68 (71.03, 80.85)","39.36 (26.17, 54.11)"
"Greene County, Alabama",1063,"73.16 (67.56, 79.40)","74.69 (69.44, 80.06)","78.34 (73.31, 83.51)","85.34 (80.15, 90.49)","92.66 (87.07, 98.13)","93.35 (87.42, 99.09)","85.38 (79.60, 91.08)","86.68 (80.13, 93.36)","18.48 (5.01, 34.17)"
"Hale County, Alabama",1065,"66.54 (61.76, 71.53)","68.14 (63.97, 72.97)","71.59 (67.37, 75.82)","79.34 (75.06, 84.03)","88.06 (82.96, 93.17)","92.21 (86.58, 97.98)","88.48 (82.79, 93.93)","86.77 (80.67, 92.80)","30.41 (17.53, 44.80)"
"Henry County, Alabama",1067,"55.55 (50.49, 60.13)","55.19 (51.30, 59.40)","56.13 (52.46, 60.10)","61.20 (57.51, 65.21)","66.52 (62.64, 71.14)","67.49 (63.57, 71.90)","61.56 (57.66, 65.58)","60.70 (56.34, 65.36)","9.26 (-2.31, 22.82)"
"Houston County, Alabama",1069,"46.55 (43.50, 49.72)","48.67 (46.02, 51.43)","48.35 (45.65, 50.89)","53.57 (51.04, 56.35)","59.50 (56.74, 62.47)","59.80 (56.71, 62.77)","54.89 (52.21, 57.60)","56.89 (53.69, 60.20)","22.21 (12.29, 32.30)"
"Jackson County, Alabama",1071,"57.43 (53.80, 61.49)","60.66 (57.05, 64.27)","63.71 (60.40, 67.24)","68.20 (64.56, 71.75)","74.44 (70.90, 78.44)","78.30 (74.52, 82.18)","69.77 (66.12, 73.46)","72.13 (68.24, 75.91)","25.60 (13.61, 36.91)"
"Jefferson County, Alabama",1073,"66.41 (63.81, 69.12)","68.64 (66.33, 71.12)","73.91 (71.30, 76.33)","79.23 (76.57, 81.82)","85.60 (82.86, 88.31)","89.12 (86.33, 91.93)","82.86 (80.19, 85.44)","77.09 (74.47, 79.94)","16.08 (10.77, 22.43)"
"Lamar County, Alabama",1075,"53.27 (48.87, 57.63)","55.95 (51.81, 60.01)","58.72 (54.91, 62.45)","66.02 (62.11, 69.91)","74.21 (70.05, 78.39)","76.18 (71.73, 80.87)","71.30 (66.85, 76.21)","70.06 (65.11, 75.26)","31.52 (16.92, 47.92)"
"Lauderdale County, Alabama",1077,"42.51 (39.83, 45.01)","43.23 (40.86, 45.71)","45.75 (43.50, 48.05)","52.47 (49.99, 55.04)","58.50 (55.73, 61.47)","60.74 (58.00, 63.69)","59.76 (56.67, 62.63)","59.54 (56.24, 62.88)","40.08 (29.42, 52.37)"
"Lawrence County, Alabama",1079,"63.57 (59.23, 68.19)","66.22 (62.12, 70.23)","70.92 (67.03, 74.74)","77.95 (73.88, 81.86)","86.15 (81.91, 90.57)","87.34 (82.78, 91.73)","81.25 (76.79, 85.60)","82.40 (77.80, 87.18)","29.61 (18.74, 41.95)"
"Lee County, Alabama",1081,"57.23 (53.73, 61.00)","58.89 (55.74, 62.30)","59.09 (55.93, 62.28)","68.35 (65.11, 71.74)","74.02 (70.57, 77.49)","75.98 (72.59, 79.53)","71.41 (68.01, 74.96)","78.92 (74.82, 83.19)","37.89 (27.21, 50.28)"
"Limestone County, Alabama",1083,"59.48 (55.59, 63.73)","60.00 (56.76, 63.57)","59.27 (56.35, 62.35)","65.17 (62.15, 68.60)","68.84 (65.50, 72.36)","69.54 (65.76, 73.02)","63.30 (60.23, 66.66)","60.60 (57.31, 64.01)","1.89 (-7.69, 11.29)"
"Lowndes County, Alabama",1085,"73.96 (68.00, 80.43)","77.55 (72.11, 83.20)","84.48 (79.24, 89.60)","94.83 (89.58, 101.17)","107.00 (100.95, 113.01)","115.15 (108.57, 122.06)","112.56 (105.56, 119.81)","115.09 (106.87, 123.41)","55.60 (38.84, 74.21)"
"Macon County, Alabama",1087,"73.39 (68.49, 77.96)","74.64 (70.42, 78.89)","80.69 (76.33, 85.03)","90.47 (85.77, 94.97)","98.89 (93.74, 104.08)","103.75 (98.13, 109.07)","97.83 (92.45, 103.71)","98.94 (92.79, 105.58)","34.82 (22.66, 48.86)"
"Madison County, Alabama",1089,"61.29 (58.05, 64.58)","59.06 (56.16, 61.83)","59.13 (56.51, 61.87)","64.72 (62.11, 67.54)","74.17 (71.14, 77.11)","71.28 (68.72, 74.28)","68.12 (65.21, 70.94)","61.28 (58.63, 64.11)","-0.01 (-6.30, 6.89)"
"Marengo County, Alabama",1091,"82.45 (76.57, 88.32)","79.49 (74.84, 84.74)","80.04 (75.39, 84.59)","87.38 (82.88, 92.43)","92.83 (87.97, 98.17)","94.87 (89.96, 100.27)","84.77 (80.16, 89.79)","83.98 (78.59, 89.75)","1.86 (-7.96, 12.74)"
"Marion County, Alabama",1093,"52.74 (49.35, 56.10)","54.07 (50.96, 57.19)","54.86 (51.66, 58.28)","58.92 (55.79, 62.33)","64.37 (60.74, 67.98)","64.79 (61.38, 68.58)","58.50 (55.13, 62.03)","56.61 (53.11, 60.55)","7.34 (-2.55, 18.74)"
"Marshall County, Alabama",1095,"47.24 (44.32, 50.30)","47.29 (44.65, 49.96)","50.57 (48.09, 53.07)","54.85 (52.11, 57.78)","60.51 (57.71, 63.54)","64.38 (61.37, 67.59)","60.39 (57.40, 63.48)","59.79 (56.69, 63.00)","26.58 (16.68, 37.31)"
"Mobile County, Alabama",1097,"58.27 (55.51, 61.04)","57.63 (55.19, 60.04)","62.88 (60.57, 65.34)","67.22 (64.58, 69.92)","73.06 (70.51, 75.97)","73.63 (70.81, 76.39)","73.89 (71.16, 76.71)","72.41 (69.42, 75.36)","24.26 (16.85, 32.11)"
"Monroe County, Alabama",1099,"62.94 (58.54, 67.57)","62.90 (58.82, 67.05)","65.97 (62.19, 69.76)","73.11 (69.18, 76.85)","83.66 (79.10, 88.18)","87.72 (83.05, 92.31)","85.08 (80.29, 90.35)","85.45 (80.58, 91.38)","35.76 (22.81, 50.22)"
"Montgomery County, Alabama",1101,"60.36 (57.30, 63.50)","62.45 (59.53, 65.55)","64.85 (62.11, 67.69)","83.73 (80.32, 87.03)","93.58 (90.08, 97.38)","100.15 (96.47, 104.10)","95.93 (92.11, 99.70)","96.84 (92.46, 100.83)","60.44 (50.48, 70.92)"
"Morgan County, Alabama",1103,"51.06 (47.87, 54.40)","51.49 (48.82, 54.36)","56.05 (53.36, 58.84)","62.51 (59.54, 65.58)","70.67 (67.46, 74.06)","76.96 (73.71, 80.42)","73.31 (70.05, 76.69)","70.19 (66.81, 73.66)","37.45 (26.86, 48.72)"
"Perry County, Alabama",1105,"68.03 (62.76, 73.49)","71.68 (67.11, 76.84)","78.71 (73.97, 83.51)","89.67 (84.75, 95.11)","102.83 (97.03, 108.75)","107.54 (101.04, 114.35)","100.75 (93.95, 107.37)","101.85 (94.84, 109.63)","49.72 (33.84, 67.81)"
"Pickens County, Alabama",1107,"57.02 (53.35, 60.93)","57.76 (54.24, 61.67)","60.28 (56.80, 63.84)","66.92 (63.40, 70.59)","74.29 (70.38, 78.34)","76.01 (71.33, 80.75)","69.60 (65.16, 73.85)","68.59 (64.21, 72.77)","20.29 (9.22, 32.45)"
"Pike County, Alabama",1109,"51.58 (47.96, 55.46)","55.01 (51.44, 58.55)","61.74 (58.04, 65.47)","74.10 (70.18, 78.47)","86.71 (82.11, 91.63)","94.22 (89.21, 99.45)","92.72 (87.96, 98.00)","95.13 (89.04, 101.30)","84.45 (67.53, 104.07)"
"Randolph County, Alabama",1111,"54.05 (50.32, 58.26)","55.84 (52.04, 59.58)","58.89 (55.55, 62.33)","67.14 (63.30, 71.12)","75.23 (71.11, 79.40)","77.00 (72.77, 81.45)","73.63 (69.55, 77.97)","73.64 (69.33, 78.50)","36.24 (23.23, 51.13)"
"Russell County, Alabama",1113,"67.00 (62.83, 71.35)","69.87 (66.10, 73.87)","76.06 (72.28, 79.98)","82.99 (78.93, 87.15)","97.87 (93.46, 102.54)","99.75 (95.02, 104.41)","101.05 (96.34, 106.10)","99.84 (95.07, 105.35)","49.01 (36.97, 62.60)"
"Saint Clair County, Alabama",1115,"50.37 (46.93, 53.97)","50.79 (47.79, 53.93)","52.42 (49.50, 55.37)","56.63 (53.75, 59.62)","58.41 (55.47, 61.49)","61.10 (57.99, 64.26)","55.96 (52.91, 58.86)","55.45 (52.24, 58.55)","10.08 (1.09, 19.88)"
"Shelby County, Alabama",1117,"62.93 (58.93, 67.07)","56.76 (53.54, 60.19)","54.57 (51.78, 57.55)","55.21 (52.35, 58.12)","54.61 (51.98, 57.32)","53.21 (50.80, 55.80)","47.06 (44.80, 49.38)","43.55 (41.36, 45.79)","-30.80 (-35.92, -25.23)"
"Sumter County, Alabama",1119,"79.39 (73.76, 85.35)","77.06 (72.46, 81.89)","78.57 (74.09, 83.13)","84.80 (80.07, 89.66)","90.89 (85.96, 96.11)","91.83 (86.87, 97.37)","83.21 (78.08, 88.40)","80.49 (75.22, 86.49)","1.38 (-8.34, 13.28)"
"Talladega County, Alabama",1121,"60.11 (56.51, 63.88)","59.88 (56.78, 63.24)","62.59 (59.45, 65.81)","69.81 (66.56, 73.40)","73.66 (70.20, 77.21)","73.18 (69.91, 76.67)","68.31 (64.74, 71.85)","68.78 (64.88, 72.82)","14.42 (5.65, 24.23)"
"Tallapoosa County, Alabama",1123,"56.19 (52.37, 59.90)","58.50 (55.02, 62.15)","61.84 (58.62, 65.12)","70.59 (66.90, 74.27)","77.98 (74.16, 81.64)","83.99 (79.81, 88.53)","79.88 (75.86, 84.13)","79.21 (74.81, 83.82)","40.97 (28.71, 53.65)"
"Tuscaloosa County, Alabama",1125,"55.77 (52.49, 58.93)","56.67 (53.78, 59.69)","58.17 (55.50, 60.98)","65.20 (62.40, 68.22)","72.14 (68.97, 75.47)","72.35 (69.27, 75.79)","67.79 (64.79, 70.94)","69.83 (66.64, 73.07)","25.22 (17.13, 34.68)"
"Walker County, Alabama",1127,"59.65 (55.99, 63.23)","61.06 (58.07, 64.23)","65.33 (62.14, 68.57)","78.14 (74.67, 81.84)","87.02 (83.35, 91.00)","90.25 (86.37, 94.18)","84.64 (80.70, 88.55)","88.28 (83.96, 92.51)","47.99 (36.38, 60.37)"
"Washington County, Alabama",1129,"57.38 (52.96, 61.75)","59.17 (55.08, 62.99)","62.60 (58.65, 66.76)","71.05 (67.02, 75.65)","78.00 (73.55, 82.52)","78.38 (73.42, 83.33)","74.20 (68.85, 79.49)","73.04 (67.64, 78.73)","27.28 (14.22, 42.43)"
"Wilcox County, Alabama",1131,"77.22 (71.67, 83.14)","78.93 (74.09, 84.06)","84.42 (79.80, 89.46)","97.52 (92.12, 103.01)","109.87 (103.67, 116.03)","114.13 (107.46, 120.97)","108.93 (102.06, 116.15)","105.38 (97.90, 113.25)","36.47 (22.86, 52.13)"
"Winston County, Alabama",1133,"47.77 (44.04, 51.90)","50.88 (47.29, 54.73)","56.45 (52.88, 60.22)","64.66 (60.76, 68.51)","73.83 (69.51, 78.31)","77.48 (73.08, 82.16)","76.47 (71.88, 81.48)","77.42 (72.37, 82.43)","62.06 (45.98, 78.48)"
Alaska,2,"40.66 (38.31, 43.17)","40.23 (38.32, 42.21)","41.71 (39.90, 43.46)","44.76 (43.02, 46.72)","49.50 (47.73, 51.62)","50.05 (48.20, 51.99)","47.77 (45.98, 49.73)","49.17 (47.10, 51.29)","20.93 (12.17, 29.94)"
"Aleutians East Borough, Alaska",2013,"37.83 (30.34, 46.62)","32.60 (27.18, 38.76)","28.89 (24.38, 34.34)","32.74 (27.48, 38.65)","38.88 (33.26, 45.25)","35.12 (30.48, 40.87)","30.15 (25.35, 35.42)","31.72 (26.05, 38.29)","-16.14 (-35.10, 8.01)"
"Aleutians West Census Area, Alaska",2016,"37.83 (30.34, 46.62)","32.60 (27.18, 38.76)","28.89 (24.38, 34.34)","32.74 (27.48, 38.65)","38.88 (33.26, 45.25)","35.12 (30.48, 40.87)","30.15 (25.35, 35.42)","31.72 (26.05, 38.29)","-16.14 (-35.10, 8.01)"
"Anchorage Municipality, Alaska",2020,"36.74 (33.43, 40.10)","37.80 (35.02, 40.68)","40.38 (37.42, 43.15)","44.39 (41.53, 47.27)","49.78 (46.71, 53.04)","51.62 (48.45, 54.81)","50.38 (47.29, 53.76)","52.94 (49.86, 56.50)","44.08 (29.04, 61.75)"
"Bethel Census Area, Alaska",2050,"42.97 (36.89, 49.34)","42.18 (37.13, 47.50)","42.44 (37.44, 47.46)","44.53 (39.63, 49.69)","47.98 (42.64, 53.67)","46.94 (41.53, 52.50)","44.01 (38.33, 49.66)","43.28 (37.37, 49.53)","0.72 (-17.19, 21.22)"
"Bristol Bay Borough, Alaska",2060,"26.76 (20.04, 34.52)","25.68 (19.38, 32.70)","22.40 (16.98, 28.39)","27.17 (20.89, 33.95)","33.39 (25.08, 42.91)","33.98 (25.18, 43.77)","31.19 (22.62, 40.86)","30.53 (21.58, 41.73)","14.08 (-19.47, 60.18)"
"Denali Borough, Alaska",2068,"40.94 (36.33, 46.45)","40.17 (36.14, 44.47)","40.85 (37.10, 44.72)","45.04 (41.07, 49.08)","50.59 (46.21, 55.15)","48.89 (44.57, 53.43)","43.94 (39.79, 48.30)","45.49 (40.75, 50.61)","11.13 (-5.58, 29.28)"
"Dillingham Census Area, Alaska",2070,"44.87 (38.66, 51.82)","42.61 (37.71, 48.05)","42.84 (38.31, 47.80)","45.74 (41.11, 50.95)","50.01 (44.94, 55.76)","50.19 (44.84, 55.93)","45.53 (40.26, 51.01)","45.97 (40.20, 52.19)","2.46 (-15.11, 22.97)"
"Fairbanks North Star Borough, Alaska",2090,"39.99 (35.52, 44.80)","40.62 (36.75, 44.70)","42.37 (38.85, 46.07)","44.70 (41.38, 48.07)","48.50 (45.08, 51.99)","48.66 (45.28, 52.33)","45.19 (41.74, 48.67)","47.45 (43.48, 51.60)","18.66 (2.38, 38.35)"
"Haines Borough, Alaska",2100,"40.25 (33.46, 49.13)","38.40 (32.43, 45.03)","39.83 (34.45, 45.76)","44.12 (37.86, 51.14)","47.82 (41.01, 55.63)","46.35 (38.91, 54.20)","41.38 (34.17, 49.30)","39.88 (31.92, 48.02)","-0.94 (-24.02, 27.02)"
"Hoonah-Angoon Census Area, Alaska",2105,"52.14 (45.16, 59.10)","48.20 (42.51, 54.09)","46.09 (41.16, 51.28)","48.04 (42.95, 52.83)","53.53 (47.89, 59.34)","51.19 (45.59, 56.94)","45.35 (39.97, 50.68)","43.51 (37.64, 49.50)","-16.56 (-30.73, -0.75)"
"Juneau City and Borough, Alaska",2110,"45.51 (40.76, 50.35)","45.81 (41.57, 49.92)","47.17 (43.34, 50.69)","49.27 (45.67, 52.68)","52.77 (49.35, 56.43)","53.51 (49.84, 57.25)","49.04 (45.18, 53.22)","50.17 (45.75, 54.57)","10.22 (-5.66, 27.78)"
"Kenai Peninsula Borough, Alaska",2122,"33.33 (30.13, 36.39)","34.05 (31.24, 36.86)","35.69 (33.09, 38.34)","39.10 (36.48, 41.81)","43.56 (40.93, 46.33)","43.63 (40.86, 46.38)","43.28 (40.51, 46.12)","42.83 (39.84, 45.94)","28.49 (14.11, 45.29)"
"Ketchikan Gateway Borough, Alaska",2130,"50.57 (45.62, 56.00)","48.92 (44.87, 53.40)","48.30 (44.68, 52.06)","50.38 (47.31, 54.00)","54.83 (51.29, 58.58)","53.38 (49.84, 57.54)","49.10 (45.36, 53.19)","47.63 (43.27, 51.97)","-5.81 (-19.15, 9.10)"
"Kodiak Island Borough, Alaska",2150,"36.06 (31.04, 41.83)","37.03 (32.59, 41.81)","38.90 (34.73, 43.53)","43.19 (39.22, 47.72)","48.54 (43.66, 53.49)","52.31 (47.39, 57.54)","48.33 (43.46, 53.94)","47.94 (42.71, 53.46)","32.95 (8.43, 60.07)"
"Kusilvak Census Area, Alaska",2158,"42.86 (36.76, 49.82)","41.45 (35.91, 47.94)","39.77 (34.89, 45.08)","41.84 (36.49, 47.21)","45.75 (39.74, 51.59)","43.36 (37.41, 49.41)","41.58 (35.24, 48.06)","37.95 (32.00, 44.05)","-11.45 (-26.94, 7.35)"
"Lake and Peninsula Borough, Alaska",2164,"44.87 (38.66, 51.82)","42.61 (37.71, 48.05)","42.84 (38.31, 47.80)","45.74 (41.11, 50.95)","50.01 (44.94, 55.76)","50.19 (44.84, 55.93)","45.53 (40.26, 51.01)","45.97 (40.20, 52.19)","2.46 (-15.11, 22.97)"
"Matanuska-Susitna Borough, Alaska",2170,"36.62 (33.11, 40.08)","36.98 (34.11, 39.99)","39.73 (36.90, 42.65)","43.22 (40.58, 45.90)","49.13 (46.29, 52.15)","50.62 (47.95, 53.74)","48.58 (45.60, 51.56)","50.43 (47.09, 53.76)","37.70 (23.14, 54.58)"
"Nome Census Area, Alaska",2180,"39.00 (33.84, 44.63)","37.78 (33.00, 42.87)","37.36 (33.22, 42.21)","40.17 (35.76, 44.91)","45.14 (40.35, 50.30)","42.11 (37.38, 47.19)","38.40 (33.53, 43.88)","38.68 (33.22, 44.16)","-0.83 (-17.87, 18.43)"
"North Slope Borough, Alaska",2185,"56.30 (47.54, 66.20)","52.15 (45.07, 59.24)","52.08 (45.77, 58.84)","55.40 (48.97, 61.99)","61.86 (54.85, 68.80)","56.07 (49.81, 63.06)","46.81 (40.76, 52.86)","49.60 (42.95, 56.89)","-11.91 (-28.05, 7.89)"
